Time;L.AnkleF;L.HipF;L.Knee;L.ShoulderF;R.AnkleF;R.HipF;R.Knee;R.ShoulderF;L.HipF_real;L.HipS_real;L.HipR_real;L.Knee_real;L.AnkleF_real;L.AnkleS_real;R.HipF_real;R.HipS_real;R.HipR_real;R.Knee_real;R.AnkleF_real;R.AnkleS_real;TorsoS_real;TorsoF_real;TorsoR_real;L.ShoulderF_real;L.ShoulderS_real;L.ElbowR_real;L.Elbow_real;Neck_real;HeadR_real;HeadF_real;R.ShoulderF_real;R.ShoulderS_real;R.ElbowR_real;R.Elbow_real
0.05;-0;-0;-0;0;-0;-0;-0;0;-0.00507867;-0.00642933;0.00401615;0.000546415;-0.0484956;0.0542863;-0.00323225;-0.00181172;0.00483577;0.00133872;-0.06989;0.0235232;-0.00543674;-0.00449698;-0.0123798;0.0108463;15.0002;-15.0001;-25.0008;0.000764981;0.0112015;0.000901585;0.0143707;-14.9995;15.0012;-25.0007
0.1;-10;-10;20;0;-10;-10;20;0;-10.0039;-0.0115121;-0.0351752;18.9719;-9.18517;-0.132494;-10.0088;0.00620181;0.00489042;18.8945;-8.76944;-0.399972;-0.0223014;2.2102;0.0245067;-0.027717;14.9979;-15.0167;-25.001;0.00196709;0.0267743;-0.00595974;0.0656245;-15.0022;15.0061;-24.9865
0.15;-20;-20;40;0;-20;-20;40;0;-20.0478;-0.0732629;-0.00622573;39.9857;-18.2945;2.62921;-20.0248;0.0205725;0.0264465;39.9872;-20.2791;1.20566;-0.0222196;2.48862;0.0094803;0.0415822;14.9979;-15.0017;-24.992;0.00620181;-0.0281614;0.0209277;0.0182229;-14.9995;14.9995;-24.9997
0.2;-30;-30;60;0;-30;-30;60;0;-29.9641;-0.141824;0.0226762;59.9852;-30.1908;-1.14207;-29.9876;-0.146516;0.0290146;59.9899;-30.0949;-1.20102;-0.106616;2.90884;-0.154646;-0.0246145;15.0025;-15.0001;-25.0028;0.00893389;-0.0267004;0.0135511;0.0105458;-14.9978;15.0016;-24.9977
0.25;-35;-35;70;0;-35;-35;70;0;-35.0536;-0.0282539;-0.0815948;69.9983;-34.9072;0.851151;-35.0562;-0.0592164;-0.0404206;69.9848;-35.3571;-0.180506;-0.14456;4.77539;-0.227381;0.0643677;15.0046;-15.0025;-24.9998;0.0122397;-0.0401787;-0.00370184;-0.0148271;-15.0022;14.9993;-25.0031
0.3;-40;-40;80;0;-40;-40;80;0;-40.0197;-0.0792859;-0.0318799;77.9602;-40.4446;0.0961144;-40.0074;0.0051363;-0.0420267;77.9492;-39.8645;-1.34966;0.119774;5.43893;-0.295372;-0.0215802;14.9972;-14.9966;-25.0034;0.00125676;0.0270202;0.00956227;0.0378119;-15.0019;15.0045;-24.992
0.35;-45;-55;90;0;-45;-55;90;0;-55.024;0.0465546;0.0265011;89.9738;-39.9659;-0.246858;-55.0035;0.0713891;0.0411451;89.9992;-39.9698;0.23392;0.119446;4.39252;0.303834;-0.0303811;14.9749;-15.0138;-25.006;0.0143434;0.0814978;-0.0112815;-0.0139892;-15.0017;15.0044;-25.0006
0.4;-50;-70;100;0;-50;-70;100;0;-70.0249;0.0584118;0.0156275;100.125;-40.026;0.060898;-70.0682;0.0533301;0.0793395;99.9913;-40.0576;0.0828365;0.0651873;0.573053;0.165154;-0.0310364;14.9984;-15.0058;-24.9885;0.00729464;0.103081;0.0104365;0.0729191;-14.9995;14.9993;-24.9864
0.45;-55;-85;110;0;-55;-85;110;0;-85.0082;-0.0400124;-0.018047;110.003;-39.9801;-0.0677582;-84.9074;-0.0313566;0.018059;110.003;-39.9987;0.0236598;-0.0603682;0.0493959;0.176164;0.0236325;14.9965;-14.9966;-25.0028;-0.0229268;0.0236598;-0.0110151;0.020272;-15.0009;14.9998;-24.9991
0.45;-0;-0;-0;0;-0;-0;-0;0;-84.9992;-0.00620073;0.00683019;110.001;-39.9863;-0.017986;-85.0006;-0.0103161;0.00385223;110.001;-40.0034;0.00827819;-0.0186409;0.0125129;-0.0236541;-0.00656552;14.9998;-14.9986;-25.0009;-0.0015679;0.00841479;0.00155728;0.00691215;-14.9995;14.9997;-24.9997
