Time;L.AnkleF;L.AnkleS;L.HipF;L.HipR;L.HipS;L.Knee;L.ShoulderF;L.ShoulderS;R.AnkleF;R.AnkleS;R.HipF;R.HipR;R.HipS;R.Knee;R.ShoulderF;R.ShoulderS;TorsoR;L.HipF_real;L.HipS_real;L.HipR_real;L.Knee_real;L.AnkleF_real;L.AnkleS_real;R.HipF_real;R.HipS_real;R.HipR_real;R.Knee_real;R.AnkleF_real;R.AnkleS_real;TorsoS_real;TorsoF_real;TorsoR_real;L.ShoulderF_real;L.ShoulderS_real;L.ElbowR_real;L.Elbow_real;Neck_real;HeadR_real;HeadF_real;R.ShoulderF_real;R.ShoulderS_real;R.ElbowR_real;R.Elbow_real
0;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.145988;0.346728;0.148024;3.51451;-0.613169;1.29104;-0.484937;-0.717937;-0.179112;3.50998;-0.663539;-1.31239;-0.110476;1.83183;0.113709;-2.85573;0.397326;-15.01;-24.9573;-0.0134311;-0.0494025;0.04497;-2.6017;0.124528;15.0012;-24.9691
0.005;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.316867;0.538274;0.124282;7.1152;-1.4835;1.49155;-0.322734;-0.475543;-0.118471;7.13309;-0.954709;-3.1773;-0.0389621;4.11426;-0.0780201;-5.5694;0.263317;-14.9899;-25.0073;0.0208184;-0.0288403;0.0181137;-5.44036;0.356017;14.9733;-25.0087
0.01;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.569747;0.831453;0.195098;12.5026;-3.14588;3.41143;0.244794;-0.582559;-0.249996;12.5852;-2.74445;-5.89178;-0.0545194;6.32784;-0.222843;-9.71496;0.248619;-15.0196;-24.9949;-0.00915297;0.0239876;-0.0132947;-9.51605;0.184169;15.0034;-24.9896
0.015;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.0728098;0.210944;0.117588;19.6339;-2.44856;5.85951;0.172094;0.0334133;-0.0609103;19.621;-1.85303;-7.51055;-0.0222547;7.04436;-0.102108;-15.2339;0.0192338;-14.9991;-24.9874;0.00543683;0.00650234;-0.00143876;-15.1765;0.170181;14.9607;-24.9839
0.02;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.237008;0.24422;0.0755965;20.3033;-1.53337;6.37448;0.0685478;0.129391;0.0947211;20.2523;-2.06902;-8.60633;-0.0460799;6.63629;0.0631109;-16.6836;0.0480572;-14.9977;-25.0026;-0.0123318;0.0227035;0.0113654;-16.5893;0.13644;15.0069;-24.9964
0.025;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.403473;0.585293;0.1295;19.6385;0.50915;7.47788;0.410549;0.222172;0.0363912;19.6274;1.473;-10.4281;-0.0382247;1.43172;0.158952;-18.8217;0.0142068;-14.9988;-25.0014;0.018059;0.0618542;0.00174853;-18.8749;0.0134691;14.9995;-25.0019
0.03;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.540787;0.654988;0.124747;19.6121;0.613542;7.9525;0.317877;0.231844;0.0707608;19.6356;-1.33339;-10.3673;-0.0367727;0.24045;0.0828365;-18.3049;0.0180044;-15.003;-24.9988;-0.00283893;0.0169662;-0.00466076;-18.3924;-0.0170485;14.9986;-25.001
0.035;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.340198;0.318505;0.0288234;19.645;-0.932618;10.2253;-0.124206;0.449399;0.143571;19.6255;-1.18932;-10.274;-0.203496;-0.859423;0.182994;-18.2303;0.0728918;-14.9999;-25.0145;0.0118845;-0.0233286;-0.0371523;-18.2491;-0.0250606;14.9878;-25.0008
0.04;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.0610089;0.368175;0.152887;19.6411;-1.05069;10.289;-0.298398;0.367109;0.180563;19.6245;1.14277;-9.80565;0.267033;-0.111875;0.212392;-18.168;-0.0100226;-14.999;-25.0002;0.0190972;-0.0535815;-0.0233719;-18.1506;-0.141295;14.9947;-25.0105
0.045;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.320939;0.835305;0.12767;19.6311;-0.928899;10.4131;-0.169662;0.381343;0.157559;19.6375;1.02229;-10.1454;0.0442323;-0.0878931;0.0505707;-18.1015;-0.020931;-15.0019;-25.0037;-0.0167818;-0.0132034;0.00071034;-18.1857;-0.0282153;15.0046;-25.003
0.05;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.174862;1.5489;0.0317194;19.6597;0.128954;10.2167;-0.0264077;-0.277971;0.0293698;19.627;0.0717716;-10.1868;0.0524558;0.0271842;0.0342875;-18.1625;-0.0276313;-14.9908;-25.0034;0.0124856;0.00841479;-0.00817032;-18.1684;-0.0162867;14.9998;-24.9999
0.055;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.197173;1.78093;0.0410085;19.6341;0.0398337;10.1886;-0.0837752;-0.507493;0.0188786;19.6267;0.0332767;-10.1709;-0.0701393;-0.0449025;0.0278398;-18.1874;-0.025277;-14.9984;-25.0034;0.00726732;0.00942566;-0.0136937;-18.1934;-0.00770064;14.9974;-24.9984
