Time HeadF HeadR L.AnkleF L.AnkleS L.Elbow L.ElbowR L.HipF L.HipR L.HipS L.Knee L.ShoulderF L.ShoulderS Neck R.AnkleF R.AnkleS R.Elbow R.ElbowR R.HipF R.HipR R.HipS R.Knee R.ShoulderF R.ShoulderS TorsoF TorsoR TorsoS L.HipF_real L.HipS_real L.HipR_real L.Knee_real L.AnkleF_real L.AnkleS_real R.HipF_real R.HipS_real R.HipR_real R.Knee_real R.AnkleF_real R.AnkleS_real TorsoS_real TorsoF_real TorsoR_real L.ShoulderF_real L.ShoulderS_real L.ElbowR_real L.Elbow_real Neck_real HeadR_real HeadF_real R.ShoulderF_real R.ShoulderS_real R.ElbowR_real R.Elbow_real Yaw Pitch Roll R.FTS.Ankle_Fx R.FTS.Ankle_Fy R.FTS.Ankle_Fz R.FTS.Ankle_Tx R.FTS.Ankle_Ty R.FTS.Ankle_Tz L.FTS.Ankle_Fx L.FTS.Ankle_Fy L.FTS.Ankle_Fz L.FTS.Ankle_Tx L.FTS.Ankle_Ty L.FTS.Ankle_Tz
0 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8639 0.139964 -0.0735602 62.9195 -30.0269 -0.493641 -37.0366 0.22026 -0.141266 63.2197 -30.3581 -0.706244 -0.00748861 -0.0192397 0.0536307 16.705 5.68952 -0.0147765 -120.004 -0.00145595 0.025463 -0.00129912 21.1313 -9.96553 0.00349706 -120 -0.210971 4.20987 0.375793 -12.692 41.579 -502.602 -4.6138 -8.76886 1.24725 -26.862 -38.9461 -367.846 0.628844 -9.24672 -1.16877
6 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8659 0.147587 -0.0876087 62.923 -30.0477 -0.509423 -37.0307 0.222063 -0.140751 63.2197 -30.1511 -0.72467 0.0125129 0.00371562 0.0571004 16.7205 5.68846 -0.00151455 -120 -0.00198642 0.00311457 -0.0009033 21.1253 -9.96637 -0.00595336 -120 -0.211167 4.22716 0.37796 -28.7658 49.1775 -592.708 -5.30874 -6.12644 1.47514 -34.508 -41.9065 -460.733 0.914241 -3.89109 -1.2575
12 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8644 0.120594 -0.0739152 62.9207 -30.0267 -0.496542 -37.0319 0.206982 -0.137226 63.2188 -30.1166 -0.728635 -0.00542625 -0.00480866 0.0586577 16.721 5.68734 -0.00112385 -120 0.000628377 -0.000741605 -0.000452065 21.1288 -9.96585 0.00237691 -120 -0.207099 4.22954 0.381592 -31.0476 51.6932 -665.299 -5.06697 -5.22303 1.55036 -31.7071 -43.2104 -533.383 0.695351 -2.55964 -1.29738
19 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8643 0.123353 -0.0776248 62.9199 -30.0276 -0.517878 -37.0316 0.208949 -0.142679 63.2218 -30.1606 -0.708748 0.00278672 -0.00126704 0.0571277 16.7217 5.68755 0.000519094 -120 0.000245887 -0.00262702 0.000601057 21.1289 -9.96656 -0.00249858 -120 -0.201769 4.24272 0.378754 -28.8668 47.3817 -739.568 -4.20229 -0.119238 1.42146 -22.4375 -35.2542 -607.289 1.24907 1.46198 -1.05833
24 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8659 0.123353 -0.0771128 62.9195 -30.188 -0.494068 -37.03 0.21149 -0.143268 63.2202 -30.2311 -0.686442 0.00707608 0.00407079 0.0566632 16.7218 5.68886 -0.00181083 -120 0.00073766 -0.000547018 0.000901585 21.1306 -9.9662 0.00341509 -120 -0.197568 4.24763 0.379822 -24.4369 43.3699 -758.479 -3.60012 1.09168 1.30122 -12.8012 -35.1109 -627.32 0.879405 1.89246 -1.05416
30 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8634 0.134719 -0.0789583 62.9189 -30.0345 -0.531466 -37.0312 0.220178 -0.145682 63.2221 -30.208 -0.683432 -0.00708736 0.00598325 0.0574009 16.7197 5.68903 -0.0014291 -120 0.000519094 -0.0028546 -0.000308126 21.1292 -9.96561 0.00221298 -120 -0.193638 4.25087 0.38446 -12.2269 39.5317 -767.058 -3.55477 3.37325 1.18635 1.12186 -32.0834 -637.124 1.40176 3.11184 -0.962965
37 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8656 0.124993 -0.0751507 62.9196 -30.1274 -0.47396 -37.0326 0.217938 -0.141466 63.2203 -30.2752 -0.69025 -0.00504264 -0.00954819 0.0571004 16.7189 5.68876 0.000792302 -120 -0.00100499 0.00125676 -0.000236488 21.1269 -9.96603 0.00262279 -120 -0.190078 4.25155 0.387512 -7.47507 40.0878 -739.669 -3.46153 3.40963 1.20283 6.19017 -34.2447 -601.788 2.15096 3.26346 -1.02738
42 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8655 0.122424 -0.0735101 62.9197 -30.0091 -0.536866 -37.0332 0.217036 -0.144469 63.2198 -30.3409 -0.701066 -0.00120128 0.00483577 0.0561442 16.7198 5.68886 -0.000444172 -120 0.000956226 -0.00172822 0.000218566 21.129 -9.96586 0.000956226 -120 -0.195968 4.25407 0.386505 -10.3714 37.9488 -675.708 -3.56982 -1.63943 1.13817 8.55613 -36.5787 -538.614 2.56086 0.435448 -1.09735
48 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8657 0.139828 -0.0721237 62.9196 -30.1739 -0.496508 -37.0332 0.208239 -0.142778 63.2186 -30.1358 -0.720412 0.00133872 0.00860604 0.0582478 16.7205 5.68799 -0.000284382 -120 0.000546415 0.000628377 -0.000358186 21.1297 -9.96573 0.000983547 -120 -0.195347 4.25679 0.393189 -10.6026 35.0075 -597.971 -3.46025 -6.25152 1.05013 7.19336 -37.2856 -453.457 2.75452 -1.2961 -1.11834
56 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8639 0.131222 -0.0771027 62.9177 -30.1981 -0.46296 -37.0304 0.214605 -0.141324 63.2192 -30.1634 -0.697233 -0.00295465 -0.00269508 0.0569638 16.7198 5.6887 -0.000297804 -120 0.000983547 0.00101087 -0.000941726 21.1283 -9.96535 0.000437132 -120 -0.195067 4.26089 0.392792 -14.0954 35.1075 -503.585 -3.39574 -8.39166 1.05325 9.37854 -44.7237 -358.306 2.9525 -5.59387 -1.34234
