Time x y
0 0 1
0.1 0.0998334 0.995004
0.2 0.198669 0.980067
0.3 0.29552 0.955336
0.4 0.389418 0.921061
0.5 0.479426 0.877583
0.6 0.564642 0.825336
0.7 0.644218 0.764842
0.8 0.717356 0.696707
0.9 0.783327 0.62161
1 0.841471 0.540302
1.1 0.891207 0.453596
1.2 0.932039 0.362358
1.3 0.963558 0.267499
1.4 0.98545 0.169967
1.5 0.997495 0.0707372
1.6 0.999574 -0.0291995
1.7 0.991665 -0.128844
1.8 0.973848 -0.227202
1.9 0.9463 -0.32329
2 0.909297 -0.416147
2.1 0.863209 -0.504846
2.2 0.808496 -0.588501
2.3 0.745705 -0.666276
2.4 0.675463 -0.737394
2.5 0.598472 -0.801144
2.6 0.515501 -0.856889
2.7 0.42738 -0.904072
2.8 0.334988 -0.942222
2.9 0.239249 -0.970958
3 0.14112 -0.989992
3.1 0.0415807 -0.999135
3.2 -0.0583741 -0.998295
3.3 -0.157746 -0.98748
3.4 -0.255541 -0.966798
3.5 -0.350783 -0.936457
3.6 -0.44252 -0.896758
3.7 -0.529836 -0.8481
3.8 -0.611858 -0.790968
3.9 -0.687766 -0.725932
4 -0.756802 -0.653644
4.1 -0.818277 -0.574824
4.2 -0.871576 -0.490261
4.3 -0.916166 -0.400799
4.4 -0.951602 -0.307333
4.5 -0.97753 -0.210796
4.6 -0.993691 -0.112153
4.7 -0.999923 -0.0123887
4.8 -0.996165 0.087499
4.9 -0.982453 0.186512
5 -0.958924 0.283662
5.1 -0.925815 0.377978
5.2 -0.883455 0.468517
5.3 -0.832267 0.554374
5.4 -0.772764 0.634693
5.5 -0.70554 0.70867
5.6 -0.631267 0.775566
5.7 -0.550686 0.834713
5.8 -0.464602 0.88552
5.9 -0.373877 0.927478
6 -0.279415 0.96017
6.1 -0.182163 0.983268
6.2 -0.0830894 0.996542
6.3 0.0168139 0.999859
6.4 0.116549 0.993185
6.5 0.21512 0.976588
6.6 0.311541 0.950233
6.7 0.40485 0.914383
6.8 0.494113 0.869397
6.9 0.57844 0.815725
7 0.656987 0.753902
7.1 0.728969 0.684547
7.2 0.793668 0.608351
7.3 0.850437 0.526078
7.4 0.898708 0.438547
7.5 0.938 0.346635
7.6 0.96792 0.25126
7.7 0.988168 0.153374
7.8 0.998543 0.0539554
7.9 0.998941 -0.0460021
8 0.989358 -0.1455
8.1 0.96989 -0.243544
8.2 0.940731 -0.339155
8.3 0.902172 -0.431377
8.4 0.854599 -0.519289
8.5 0.798487 -0.602012
8.6 0.734397 -0.67872
8.7 0.662969 -0.748647
8.8 0.584917 -0.811093
8.9 0.501021 -0.865435
9 0.412118 -0.91113
9.1 0.319098 -0.947722
9.2 0.22289 -0.974844
9.3 0.124454 -0.992225
9.4 0.0247754 -0.999693
9.5 -0.0751511 -0.997172
9.6 -0.174327 -0.984688
9.7 -0.271761 -0.962365
9.8 -0.366479 -0.930426
9.9 -0.457536 -0.889191
10 -0.544021 -0.839072
10.1 -0.625071 -0.780568
10.2 -0.699875 -0.714266
10.3 -0.767686 -0.640826
10.4 -0.827826 -0.560984
10.5 -0.879696 -0.475537
10.6 -0.922775 -0.385338
10.7 -0.956635 -0.291289
10.8 -0.980936 -0.19433
10.9 -0.995436 -0.0954289
11 -0.99999 0.0044257
11.1 -0.994553 0.104236
11.2 -0.979178 0.203005
11.3 -0.954019 0.299745
11.4 -0.919329 0.393491
11.5 -0.875452 0.483305
11.6 -0.822829 0.56829
11.7 -0.761984 0.647596
11.8 -0.693525 0.720432
11.9 -0.618137 0.78607
12 -0.536573 0.843854
12.1 -0.449647 0.893206
12.2 -0.358229 0.933634
12.3 -0.263232 0.964733
12.4 -0.165604 0.986192
12.5 -0.0663219 0.997798
